T	Layout	IType	ItOuter	ItInner	ni_	nj_	nk_	size_	is_	ie_	js_	je_	ks_	ke_	tiling_[0]	tiling_[1]	tiling_[2]	vector_length_	nvars_	pre_step_type_	step_type_	post_step_type_	ncells_	flops_per_cell_	arith_intensity_	nsteps_	ndims_	elapsed_times_[0]	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00360476	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00372058	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00373273	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00360754	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00372012	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00371657	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00360646	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00371567	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0138137	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0145666	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0139301	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0138174	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0145428	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0138396	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.013816	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0145517	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0137989	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00823982	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00547629	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00819577	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00819816	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00548796	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00819417	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00819406	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00548433	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00818946	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0188536	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0189174	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0187571	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0186931	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.018727	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0187994	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0187622	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0187336	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0187594	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00227109	
