T	Layout	IType	ItOuter	ItInner	ni_	nj_	nk_	size_	is_	ie_	js_	je_	ks_	ke_	tiling_[0]	tiling_[1]	tiling_[2]	vector_length_	nvars_	pre_step_type_	step_type_	post_step_type_	ncells_	flops_per_cell_	arith_intensity_	nsteps_	ndims_	elapsed_times_[0]	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0255089	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0131802	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00860155	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0131706	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0131984	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00859362	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0131778	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.013187	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00861875	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.013179	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0329078	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0324807	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0329203	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0328854	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0324438	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0328773	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0329075	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0324957	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0328251	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00373008	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00368281	
